;a0c0;a0c1;a0c2;a1c0;a1c1;a1c2;a2c0;a2c1;a2c2;a3c0;a3c1;a3c2;dist_x;dist_y;time
0;-69.0;-72.0;;-63.0;-65.0;-67.0;;-75.0;-77.0;-80.0;-77.0;-86.0;10.0;3.1000000000000005;00:01:18:873
1;;-69.0;-64.0;-65.0;-61.0;-68.0;-83.0;;-70.0;-82.0;-85.0;-84.0;10.0;3.1000000000000005;00:01:18:979
2;-80.0;-69.0;;-63.0;-61.0;;-82.0;-83.0;;-82.0;-85.0;;10.0;3.1000000000000005;00:01:19:088
3;-80.0;;-78.0;-63.0;;-67.0;;-75.0;-76.0;-81.0;-87.0;-83.0;10.0;3.1000000000000005;00:01:19:194
4;-69.0;-72.0;;-65.0;-65.0;;;;-77.0;-80.0;-77.0;-86.0;10.0;3.1000000000000005;00:01:19:300
5;;-69.0;-64.0;-65.0;-61.0;-68.0;-82.0;;-70.0;-77.0;-85.0;-85.0;10.0;3.1000000000000005;00:01:19:411
6;-80.0;;-78.0;-62.0;-61.0;-58.0;-70.0;-75.0;;-82.0;-77.0;-83.0;10.0;3.1000000000000005;00:01:19:513
7;;-73.0;-78.0;;-65.0;-67.0;;-75.0;-76.0;;-77.0;-83.0;10.0;3.1000000000000005;00:01:19:618
8;-69.0;-73.0;;-65.0;-65.0;;-110.0;;-77.0;-80.0;-77.0;-86.0;10.0;3.1000000000000005;00:01:19:725
9;;-69.0;-64.0;-110.0;-61.0;-68.0;-83.0;;;-77.0;-85.0;-85.0;10.0;3.1000000000000005;00:01:19:829
10;-80.0;;-78.0;-63.0;-61.0;-58.0;-70.0;-75.0;;-82.0;-87.0;-83.0;10.0;3.1000000000000005;00:01:19:935
11;-78.0;-73.0;;-63.0;-65.0;-67.0;;-74.0;-77.0;-80.0;-77.0;-86.0;10.0;3.1000000000000005;00:01:20:035
12;-69.0;;-64.0;-65.0;;-68.0;-82.0;;-77.0;-80.0;-77.0;-86.0;10.0;3.1000000000000005;00:01:20:143
13;;-70.0;-64.0;-110.0;-61.0;-68.0;-83.0;-83.0;;-77.0;-84.0;-84.0;10.0;3.1000000000000005;00:01:20:250
14;-80.0;;-78.0;-63.0;;-67.0;;-75.0;;-82.0;-87.0;-83.0;10.0;3.1000000000000005;00:01:20:359
15;-69.0;-72.0;;-63.0;-65.0;-67.0;;-74.0;-77.0;-110.0;;-85.0;10.0;3.1000000000000005;00:01:20:469
16;;-69.0;-64.0;-65.0;-61.0;-68.0;-83.0;;-70.0;-110.0;;-85.0;10.0;3.1000000000000005;00:01:20:573
17;-80.0;-69.0;;-63.0;-61.0;;-83.0;-82.0;;-110.0;-77.0;;10.0;3.1000000000000005;00:01:20:675
18;-80.0;;-78.0;-63.0;;-67.0;;-75.0;-75.0;-110.0;-86.0;-83.0;10.0;3.1000000000000005;00:01:20:777
19;-69.0;-73.0;;-65.0;-65.0;;;-74.0;-77.0;-110.0;;-86.0;10.0;3.1000000000000005;00:01:20:878
20;;-69.0;-64.0;-64.0;-61.0;-69.0;-82.0;;-70.0;-77.0;-85.0;-85.0;10.0;3.1000000000000005;00:01:20:979
21;-80.0;-69.0;-66.0;-63.0;-61.0;;-83.0;-82.0;;-110.0;-77.0;-83.0;10.0;3.1000000000000005;00:01:21:083
22;;-73.0;-77.0;-62.0;-69.0;-67.0;;-75.0;-76.0;-82.0;-87.0;-83.0;10.0;3.1000000000000005;00:01:21:190
23;-69.0;-73.0;;-65.0;-65.0;;-110.0;;-77.0;-81.0;-77.0;-86.0;10.0;3.1000000000000005;00:01:21:299
24;;-69.0;-64.0;-110.0;-61.0;-68.0;-82.0;;-70.0;-77.0;-84.0;-85.0;10.0;3.1000000000000005;00:01:21:405
25;-80.0;;-78.0;-62.0;-61.0;-58.0;-70.0;-75.0;;-82.0;-86.0;-83.0;10.0;3.1000000000000005;00:01:21:513
26;-89.0;-73.0;-78.0;;-65.0;-67.0;;-75.0;-76.0;-80.0;-77.0;-88.0;10.0;3.1000000000000005;00:01:21:616
27;-69.0;;-65.0;-64.0;;-68.0;-81.0;;-77.0;-80.0;-77.0;-86.0;10.0;3.1000000000000005;00:01:21:723
28;;-69.0;-64.0;-110.0;-61.0;-68.0;-82.0;-82.0;;-78.0;-84.0;-85.0;10.0;3.1000000000000005;00:01:21:833
29;-80.0;;-78.0;-63.0;;-67.0;-70.0;-75.0;;-82.0;-86.0;-83.0;10.0;3.1000000000000005;00:01:21:935
30;-69.0;-73.0;;-63.0;-65.0;-67.0;;-75.0;-77.0;-80.0;-77.0;-86.0;10.0;3.1000000000000005;00:01:22:043
31;-69.0;-67.0;-64.0;-65.0;;-68.0;-110.0;;-70.0;-83.0;-84.0;-85.0;10.0;3.1000000000000005;00:01:22:150
32;-80.0;-69.0;;-110.0;-61.0;;-82.0;-74.0;;-77.0;-84.0;-85.0;10.0;3.1000000000000005;00:01:22:251
33;-80.0;;-78.0;-62.0;;-67.0;;-75.0;;-82.0;-86.0;-83.0;10.0;3.1000000000000005;00:01:22:355
34;-69.0;-73.0;;-65.0;-65.0;-67.0;;-74.0;-77.0;-81.0;-77.0;-87.0;10.0;3.1000000000000005;00:01:22:456
35;;-69.0;-65.0;-64.0;-61.0;-68.0;-82.0;;-70.0;-110.0;-84.0;-85.0;10.0;3.1000000000000005;00:01:22:565
36;-80.0;-68.0;;-61.0;-61.0;;-82.0;-82.0;;-82.0;-76.0;-83.0;10.0;3.1000000000000005;00:01:22:670
