;a0c0;a0c1;a0c2;a1c0;a1c1;a1c2;a2c0;a2c1;a2c2;a3c0;a3c1;a3c2;dist_x;dist_y;time
45;-57.0;-52.0;-48.0;-73.0;;-72.0;-76.0;-81.0;-74.0;-84.0;-75.0;;1.0;3.1;00:01:58:331
46;;-55.0;-53.0;;-68.0;-72.0;-86.0;-70.0;-80.0;;-78.0;-86.0;1.0;3.1;00:01:58:440
47;-54.0;;-65.0;-74.0;;-67.0;-110.0;-74.0;-75.0;-80.0;;-82.0;1.0;3.1;00:01:58:543
48;-57.0;-47.0;;-73.0;-76.0;-60.0;-76.0;-81.0;-74.0;;-75.0;-82.0;1.0;3.1;00:01:58:647
49;;-56.0;-48.0;-67.0;-68.0;-72.0;-84.0;-67.0;-80.0;-84.0;-75.0;;1.0;3.1;00:01:58:756
50;-44.0;-55.0;-64.0;-74.0;-69.0;;-85.0;-69.0;-80.0;;-78.0;-86.0;1.0;3.1;00:01:58:863
51;-54.0;;-65.0;-74.0;;-67.0;-110.0;;;-80.0;;-82.0;1.0;3.1;00:01:58:972
52;-56.0;-52.0;;-73.0;-76.0;;-76.0;-80.0;-74.0;-84.0;-75.0;;1.0;3.1;00:01:59:082
53;;-56.0;-48.0;-60.0;-68.0;-72.0;-85.0;-70.0;-80.0;-85.0;;-86.0;1.0;3.1;00:01:59:183
54;-41.0;;-65.0;-74.0;-69.0;-67.0;-110.0;-74.0;-80.0;;-78.0;-85.0;1.0;3.1;00:01:59:286
55;-54.0;-47.0;-65.0;;-76.0;-67.0;-110.0;-74.0;-74.0;-80.0;;-82.0;1.0;3.1;00:01:59:388
56;-57.0;-53.0;;-74.0;-76.0;;-76.0;-80.0;-74.0;-85.0;-75.0;;1.0;3.1;00:01:59:490
57;;-56.0;-48.0;-64.0;-69.0;-72.0;-86.0;-70.0;-80.0;-85.0;-78.0;-86.0;1.0;3.1;00:01:59:590
58;-46.0;;-65.0;-74.0;-69.0;-67.0;-110.0;-74.0;-81.0;-79.0;-78.0;;1.0;3.1;00:01:59:694
59;-57.0;-47.0;-52.0;;-76.0;-67.0;-110.0;;-74.0;-80.0;;-82.0;1.0;3.1;00:01:59:803
60;-56.0;-53.0;;-74.0;;-72.0;-76.0;-80.0;-74.0;-84.0;-75.0;;1.0;3.1;00:01:59:910
61;;-56.0;-54.0;;-69.0;-72.0;-86.0;-69.0;-80.0;;-78.0;-85.0;1.0;3.1;00:02:00:020
62;-54.0;;-65.0;-74.0;;-67.0;-110.0;-74.0;-75.0;-79.0;;-82.0;1.0;3.1;00:02:00:127
