;a0c0;a0c1;a0c2;a1c0;a1c1;a1c2;a2c0;a2c1;a2c2;a3c0;a3c1;a3c2;dist_x;dist_y;time
0;-74.0;-76.0;-61.0;-76.0;-80.0;-74.0;-85.0;-75.0;-86.0;-59.0;-47.0;-48.0;1.0;3.1;00:01:53:500
4;-74.0;-77.0;-72.0;-76.0;-80.0;-74.0;-85.0;-75.0;-86.0;-57.0;-52.0;-48.0;1.0;3.1;00:01:53:928
10;-74.0;-76.0;-61.0;-76.0;-80.0;-74.0;-84.0;-75.0;-82.0;-57.0;-47.0;-48.0;1.0;3.1;00:01:54:671
12;-74.0;-68.0;-67.0;-85.0;-69.0;-80.0;-80.0;-78.0;-86.0;-54.0;-55.0;-52.0;1.0;3.1;00:01:54:873
14;-73.0;-76.0;-60.0;-76.0;-80.0;-74.0;-85.0;-75.0;-82.0;-57.0;-47.0;-49.0;1.0;3.1;00:01:55:082
16;-74.0;-68.0;-67.0;-85.0;-69.0;-80.0;-80.0;-78.0;-86.0;-40.0;-55.0;-65.0;1.0;3.1;00:01:55:290
18;-74.0;-77.0;-72.0;-76.0;-80.0;-74.0;-85.0;-75.0;-86.0;-57.0;-52.0;-48.0;1.0;3.1;00:01:55:502
22;-74.0;-76.0;-72.0;-76.0;-80.0;-74.0;-85.0;-75.0;-86.0;-57.0;-54.0;-51.0;1.0;3.1;00:01:55:921
24;-74.0;-69.0;-67.0;-90.0;-74.0;-75.0;-80.0;-78.0;-82.0;-46.0;-47.0;-65.0;1.0;3.1;00:01:56:131
26;-74.0;-68.0;-72.0;-76.0;-81.0;-74.0;-84.0;-75.0;-86.0;-57.0;-52.0;-48.0;1.0;3.1;00:01:56:339
28;-74.0;-76.0;-67.0;-89.0;-74.0;-75.0;-80.0;-75.0;-83.0;-54.0;-47.0;-65.0;1.0;3.1;00:01:56:551
32;-74.0;-77.0;-67.0;-76.0;-74.0;-75.0;-85.0;-75.0;-82.0;-54.0;-47.0;-65.0;1.0;3.1;00:01:56:963
34;-64.0;-68.0;-72.0;-86.0;-67.0;-81.0;-85.0;-78.0;-87.0;-47.0;-56.0;-48.0;1.0;3.1;00:01:57:174
36;-74.0;-77.0;-67.0;-76.0;-74.0;-75.0;-80.0;-75.0;-82.0;-54.0;-52.0;-65.0;1.0;3.1;00:01:57:389
38;-65.0;-68.0;-72.0;-85.0;-70.0;-80.0;-84.0;-78.0;-86.0;-45.0;-56.0;-49.0;1.0;3.1;00:01:57:594
40;-73.0;-77.0;-67.0;-76.0;-74.0;-75.0;-79.0;-75.0;-82.0;-57.0;-47.0;-52.0;1.0;3.1;00:01:57:806
42;-74.0;-68.0;-72.0;-85.0;-70.0;-80.0;-80.0;-78.0;-86.0;-45.0;-56.0;-53.0;1.0;3.1;00:01:58:018
44;-73.0;-76.0;-61.0;-88.0;-81.0;-74.0;-80.0;-75.0;-82.0;-54.0;-47.0;-48.0;1.0;3.1;00:01:58:227
46;-74.0;-68.0;-72.0;-86.0;-70.0;-80.0;-80.0;-78.0;-86.0;-54.0;-55.0;-53.0;1.0;3.1;00:01:58:440
48;-73.0;-76.0;-60.0;-76.0;-81.0;-74.0;-84.0;-75.0;-82.0;-57.0;-47.0;-48.0;1.0;3.1;00:01:58:647
50;-74.0;-69.0;-67.0;-85.0;-69.0;-80.0;-80.0;-78.0;-86.0;-44.0;-55.0;-64.0;1.0;3.1;00:01:58:863
52;-73.0;-76.0;-72.0;-76.0;-80.0;-74.0;-84.0;-75.0;-86.0;-56.0;-52.0;-48.0;1.0;3.1;00:01:59:082
56;-74.0;-76.0;-72.0;-76.0;-80.0;-74.0;-85.0;-75.0;-86.0;-57.0;-53.0;-48.0;1.0;3.1;00:01:59:490
60;-74.0;-69.0;-72.0;-76.0;-80.0;-74.0;-84.0;-75.0;-85.0;-56.0;-53.0;-54.0;1.0;3.1;00:01:59:910
62;-74.0;-76.0;-67.0;-90.0;-74.0;-75.0;-79.0;-75.0;-82.0;-54.0;-47.0;-65.0;1.0;3.1;00:02:00:127
66;-74.0;-76.0;-67.0;-76.0;-76.0;-75.0;-79.0;-75.0;-82.0;-54.0;-47.0;-65.0;1.0;3.1;00:02:00:544
68;-64.0;-68.0;-72.0;-86.0;-67.0;-80.0;-84.0;-75.0;-86.0;-46.0;-55.0;-48.0;1.0;3.1;00:02:00:747
70;-74.0;-76.0;-67.0;-76.0;-74.0;-75.0;-80.0;-75.0;-82.0;-54.0;-52.0;-65.0;1.0;3.1;00:02:00:960
72;-66.0;-68.0;-72.0;-86.0;-70.0;-81.0;-84.0;-78.0;-86.0;-44.0;-56.0;-48.0;1.0;3.1;00:02:01:167
74;-73.0;-77.0;-67.0;-76.0;-74.0;-75.0;-80.0;-75.0;-82.0;-54.0;-47.0;-64.0;1.0;3.1;00:02:01:379
76;-74.0;-69.0;-72.0;-86.0;-70.0;-80.0;-79.0;-78.0;-86.0;-46.0;-56.0;-53.0;1.0;3.1;00:02:01:593
78;-73.0;-76.0;-60.0;-89.0;-80.0;-74.0;-79.0;-75.0;-82.0;-57.0;-47.0;-48.0;1.0;3.1;00:02:01:804
80;-76.0;-68.0;-72.0;-84.0;-70.0;-81.0;-80.0;-78.0;-85.0;-54.0;-56.0;-53.0;1.0;3.1;00:02:02:014
84;-74.0;-68.0;-67.0;-85.0;-70.0;-80.0;-80.0;-78.0;-86.0;-54.0;-56.0;-54.0;1.0;3.1;00:02:02:424
86;-74.0;-76.0;-60.0;-76.0;-80.0;-74.0;-84.0;-77.0;-82.0;-57.0;-45.0;-49.0;1.0;3.1;00:02:02:630
88;-74.0;-69.0;-67.0;-85.0;-69.0;-80.0;-80.0;-78.0;-86.0;-46.0;-55.0;-65.0;1.0;3.1;00:02:02:838
90;-73.0;-76.0;-60.0;-76.0;-80.0;-74.0;-84.0;-75.0;-85.0;-57.0;-47.0;-48.0;1.0;3.1;00:02:03:040
94;-74.0;-76.0;-72.0;-76.0;-80.0;-74.0;-84.0;-75.0;-85.0;-57.0;-52.0;-48.0;1.0;3.1;00:02:03:457
100;-73.0;-76.0;-67.0;-76.0;-80.0;-74.0;-84.0;-75.0;-82.0;-57.0;-47.0;-48.0;1.0;3.1;00:02:04:178
102;-74.0;-68.0;-72.0;-85.0;-69.0;-80.0;-80.0;-78.0;-86.0;-46.0;-56.0;-54.0;1.0;3.1;00:02:04:395
104;-74.0;-76.0;-61.0;-89.0;-80.0;-74.0;-85.0;-75.0;-82.0;-57.0;-47.0;-48.0;1.0;3.1;00:02:04:602
108;-73.0;-76.0;-61.0;-76.0;-80.0;-74.0;-85.0;-75.0;-82.0;-54.0;-47.0;-48.0;1.0;3.1;00:02:05:016
110;-74.0;-68.0;-67.0;-86.0;-70.0;-80.0;-80.0;-78.0;-86.0;-46.0;-55.0;-65.0;1.0;3.1;00:02:05:223
112;-73.0;-76.0;-60.0;-76.0;-80.0;-74.0;-85.0;-75.0;-85.0;-56.0;-47.0;-48.0;1.0;3.1;00:02:05:426
116;-73.0;-76.0;-72.0;-77.0;-80.0;-74.0;-84.0;-75.0;-86.0;-57.0;-53.0;-48.0;1.0;3.1;00:02:05:842
120;-74.0;-76.0;-72.0;-76.0;-80.0;-74.0;-85.0;-75.0;-85.0;-57.0;-52.0;-55.0;1.0;3.1;00:02:06:252
124;-73.0;-68.0;-72.0;-76.0;-81.0;-74.0;-84.0;-75.0;-86.0;-56.0;-52.0;-54.0;1.0;3.1;00:02:06:665
128;-75.0;-69.0;-67.0;-85.0;-69.0;-80.0;-80.0;-78.0;-86.0;-54.0;-56.0;-55.0;1.0;3.1;00:02:07:192
130;-73.0;-76.0;-60.0;-75.0;-81.0;-74.0;-84.0;-75.0;-82.0;-57.0;-47.0;-48.0;1.0;3.1;00:02:07:398
132;-74.0;-68.0;-67.0;-86.0;-69.0;-81.0;-80.0;-78.0;-86.0;-46.0;-56.0;-55.0;1.0;3.1;00:02:07:599
134;-73.0;-76.0;-60.0;-75.0;-81.0;-73.0;-86.0;-75.0;-83.0;-57.0;-47.0;-48.0;1.0;3.1;00:02:07:805
138;-73.0;-76.0;-72.0;-75.0;-80.0;-74.0;-85.0;-75.0;-86.0;-54.0;-52.0;-48.0;1.0;3.1;00:02:08:226
142;-73.0;-68.0;-72.0;-76.0;-81.0;-74.0;-84.0;-75.0;-86.0;-54.0;-52.0;-54.0;1.0;3.1;00:02:08:654
144;-74.0;-69.0;-67.0;-90.0;-74.0;-75.0;-80.0;-78.0;-82.0;-46.0;-47.0;-65.0;1.0;3.1;00:02:08:861
146;-73.0;-68.0;-72.0;-76.0;-81.0;-74.0;-84.0;-75.0;-86.0;-59.0;-55.0;-48.0;1.0;3.1;00:02:09:070
148;-74.0;-77.0;-67.0;-76.0;-74.0;-75.0;-80.0;-75.0;-82.0;-54.0;-47.0;-65.0;1.0;3.1;00:02:09:285
150;-64.0;-68.0;-72.0;-86.0;-67.0;-80.0;-84.0;-78.0;-86.0;-46.0;-56.0;-48.0;1.0;3.1;00:02:09:497
154;-68.0;-68.0;-72.0;-86.0;-70.0;-80.0;-84.0;-78.0;-86.0;-46.0;-55.0;-48.0;1.0;3.1;00:02:09:911
156;-73.0;-77.0;-67.0;-76.0;-74.0;-75.0;-85.0;-75.0;-82.0;-54.0;-47.0;-65.0;1.0;3.1;00:02:10:120
158;-74.0;-68.0;-72.0;-86.0;-69.0;-80.0;-80.0;-78.0;-85.0;-46.0;-56.0;-53.0;1.0;3.1;00:02:10:332
162;-74.0;-68.0;-72.0;-86.0;-71.0;-80.0;-80.0;-78.0;-85.0;-46.0;-56.0;-53.0;1.0;3.1;00:02:10:748
164;-73.0;-77.0;-60.0;-89.0;-81.0;-74.0;-84.0;-75.0;-82.0;-57.0;-47.0;-48.0;1.0;3.1;00:02:10:954
166;-74.0;-68.0;-67.0;-86.0;-70.0;-80.0;-80.0;-78.0;-85.0;-55.0;-56.0;-54.0;1.0;3.1;00:02:11:163
168;-73.0;-77.0;-63.0;-76.0;-81.0;-74.0;-84.0;-75.0;-82.0;-57.0;-47.0;-48.0;1.0;3.1;00:02:11:367
170;-74.0;-68.0;-67.0;-86.0;-70.0;-80.0;-80.0;-78.0;-85.0;-46.0;-55.0;-55.0;1.0;3.1;00:02:11:580
172;-74.0;-77.0;-72.0;-76.0;-81.0;-74.0;-85.0;-75.0;-86.0;-56.0;-54.0;-48.0;1.0;3.1;00:02:11:789
176;-73.0;-77.0;-72.0;-76.0;-81.0;-74.0;-84.0;-75.0;-85.0;-57.0;-52.0;-48.0;1.0;3.1;00:02:12:214
180;-75.0;-68.0;-72.0;-76.0;-81.0;-74.0;-85.0;-75.0;-85.0;-57.0;-52.0;-48.0;1.0;3.1;00:02:12:631
182;-74.0;-70.0;-66.0;-90.0;-76.0;-75.0;-80.0;-75.0;-82.0;-54.0;-47.0;-65.0;1.0;3.1;00:02:12:848
184;-73.0;-69.0;-72.0;-85.0;-80.0;-80.0;-84.0;-75.0;-85.0;-46.0;-55.0;-48.0;1.0;3.1;00:02:13:058
186;-74.0;-77.0;-67.0;-76.0;-74.0;-75.0;-80.0;-75.0;-82.0;-54.0;-50.0;-65.0;1.0;3.1;00:02:13:273
188;-67.0;-69.0;-72.0;-85.0;-70.0;-80.0;-84.0;-79.0;-86.0;-46.0;-56.0;-48.0;1.0;3.1;00:02:13:488
190;-73.0;-78.0;-67.0;-75.0;-74.0;-75.0;-80.0;-75.0;-82.0;-54.0;-47.0;-65.0;1.0;3.1;00:02:13:693
192;-66.0;-69.0;-72.0;-85.0;-70.0;-80.0;-85.0;-79.0;-86.0;-46.0;-56.0;-48.0;1.0;3.1;00:02:13:900
194;-73.0;-77.0;-67.0;-76.0;-81.0;-74.0;-85.0;-75.0;-82.0;-57.0;-47.0;-48.0;1.0;3.1;00:02:14:116
198;-73.0;-77.0;-60.0;-75.0;-81.0;-74.0;-85.0;-75.0;-82.0;-56.0;-47.0;-48.0;1.0;3.1;00:02:14:543
200;-74.0;-68.0;-67.0;-86.0;-70.0;-80.0;-80.0;-78.0;-86.0;-54.0;-56.0;-52.0;1.0;3.1;00:02:14:751
202;-73.0;-77.0;-61.0;-75.0;-81.0;-74.0;-84.0;-75.0;-86.0;-57.0;-47.0;-48.0;1.0;3.1;00:02:14:966
206;-73.0;-77.0;-72.0;-75.0;-81.0;-74.0;-85.0;-75.0;-86.0;-57.0;-50.0;-48.0;1.0;3.1;00:02:15:390
210;-74.0;-68.0;-72.0;-86.0;-70.0;-80.0;-80.0;-79.0;-86.0;-54.0;-56.0;-51.0;1.0;3.1;00:02:15:923
212;-73.0;-77.0;-60.0;-75.0;-81.0;-74.0;-84.0;-75.0;-82.0;-57.0;-47.0;-48.0;1.0;3.1;00:02:16:137
214;-74.0;-68.0;-67.0;-86.0;-70.0;-80.0;-80.0;-78.0;-85.0;-46.0;-55.0;-54.0;1.0;3.1;00:02:16:350
216;-73.0;-77.0;-72.0;-76.0;-81.0;-74.0;-85.0;-75.0;-86.0;-57.0;-52.0;-48.0;1.0;3.1;00:02:16:564
224;-73.0;-68.0;-72.0;-76.0;-80.0;-74.0;-84.0;-75.0;-86.0;-57.0;-52.0;-48.0;1.0;3.1;00:02:17:411
